rank,time_bucket,time_seconds,coordinates,lat,lon,newly_covered_buildings,newly_covered_people_est
177,30s,30,"31.736901,34.995143",31.73690120367663,34.995142920614654,2,14
178,30s,30,"31.716118,34.982722",31.71611771765056,34.982721821583624,2,14
179,30s,30,"31.742571,34.987899",31.742570554687465,34.98789862957376,2,14
180,30s,30,"31.709807,34.994319",31.709807126710768,34.99431876337795,2,14
181,30s,30,"31.739514,34.986935",31.739513558173847,34.98693510170472,2,14
182,30s,30,"31.739504,34.989449",31.73950441888361,34.989448698672824,2,14
183,30s,30,"31.742433,34.990608",31.742432934203787,34.99060776736298,2,14
184,30s,30,"31.743509,34.981968",31.743508641744203,34.98196840729796,2,14
185,30s,30,"31.738469,34.992403",31.738468707118773,34.99240257749088,2,14
186,30s,30,"31.743456,34.983038",31.74345596735766,34.98303804387147,2,14
187,30s,30,"31.762931,35.015497",31.762930606856614,35.01549699557728,2,14
188,30s,30,"31.747644,34.984592",31.747644481301542,34.984591808975175,2,14
189,30s,30,"31.726394,34.993057",31.72639385565044,34.9930566278836,2,14
190,30s,30,"31.713641,34.994451",31.713641088639164,34.99445121062604,2,14
191,30s,30,"31.741291,34.982431",31.741290780541778,34.98243141908505,2,14
192,30s,30,"31.747090,34.996960",31.7470895003499,34.99696047056884,2,14
193,30s,30,"31.741847,34.996140",31.7418472796814,34.99613950047151,2,14
194,30s,30,"31.729577,34.991012",31.729577070900866,34.9910116379268,2,14
195,30s,30,"31.712060,34.995073",31.712059660947354,34.99507250870525,2,14
196,30s,30,"31.743916,34.981736",31.743916225625938,34.9817357533377,2,14
197,30s,30,"31.742356,34.993738",31.742356415437566,34.99373764775927,2,14
198,30s,30,"31.742477,34.988718",31.742476944642046,34.98871760430408,2,14
199,30s,30,"31.737018,34.996802",31.737018351774232,34.996801626105366,2,14
200,30s,30,"31.714857,34.990032",31.714857451110056,34.99003238287859,2,14
201,30s,30,"31.746843,34.983208",31.74684268487631,34.98320822524216,2,14
202,30s,30,"31.717197,34.999134",31.71719724760746,34.99913352621769,2,14
203,30s,30,"31.739218,34.992028",31.739217662432576,34.99202750291477,2,14
204,30s,30,"31.710121,34.996989",31.71012106376182,34.996988906905024,2,14
205,30s,30,"31.742507,34.986884",31.742507466293297,34.98688405040669,2,14
206,30s,30,"31.742344,34.983999",31.742344004417497,34.9839985698182,2,14
207,30s,30,"31.740036,34.993143",31.74003629295948,34.99314261850727,2,14
208,30s,30,"31.741706,34.987991",31.741706162371408,34.98799122247407,2,14
209,30s,30,"31.738998,34.996037",31.73899758807785,34.996037190770544,2,14
210,30s,30,"31.746524,34.987875",31.746523509211226,34.98787491809697,2,14
